blocks 168
119 0x0F450  0x8001EC50 sz=0xC    n=3   .L8001EC50 | addiu $at, $zero, -0x1       | lui $at, (0x80000000 >> 16)
120 0x0F45C  0x8001EC5C sz=0x8    n=2          | bne $v1, $at, .L8001EC68     | nop 
121 0x0F464  0x8001EC64 sz=0x4    n=1          | break 6                      | break 6
122 0x0F468  0x8001EC68 sz=0x2C   n=11  .L8001EC68 | mflo $v0                     | sb $v0, 0x48($v1)
123 0x0F494  0x8001EC94 sz=0x8    n=2   .L8001EC94 | jal func_8001F9C4            | nop 
124 0x0F49C  0x8001EC9C sz=0x1C   n=7   .L8001EC9C | lui $a1, %hi(D_8009D278)     | addu $a0, $zero, $zero
125 0x0F4B8  0x8001ECB8 sz=0x8    n=2          | jal func_80032B0C            | addiu $a1, $a1, 0x50
126 0x0F4C0  0x8001ECC0 sz=0x1C   n=7          | lui $v1, %hi(D_8009D278)     | sb $v0, 0x56($v1)
127 0x0F4DC  0x8001ECDC sz=0x24   n=9   .L8001ECDC | lui $a0, %hi(D_8009D278)     | addu $a1, $v1, $zero
128 0x0F500  0x8001ED00 sz=0x58   n=22         | lui $v1, %hi(D_8009D254)     | sh $v0, 0xE($v1)
129 0x0F558  0x8001ED58 sz=0x1C   n=7   .L8001ED58 | lui $a1, %hi(D_8009D278)     | addu $a0, $zero, $zero
130 0x0F574  0x8001ED74 sz=0x8    n=2          | jal func_80032B0C            | addiu $a1, $a1, 0x58
131 0x0F57C  0x8001ED7C sz=0x24   n=9          | lui $v1, %hi(D_8009D278)     | lw $a1, %lo(D_8009D278)($a1)
132 0x0F5A0  0x8001EDA0 sz=0x14   n=5   .L8001EDA0 | nop                          | addu $a0, $zero, $zero
133 0x0F5B4  0x8001EDB4 sz=0x8    n=2          | jal func_80032B0C            | addiu $a1, $a1, 0x60
134 0x0F5BC  0x8001EDBC sz=0x1C   n=7          | lui $v1, %hi(D_8009D278)     | sb $v0, 0x66($v1)
135 0x0F5D8  0x8001EDD8 sz=0x20   n=8   .L8001EDD8 | lui $v0, %hi(D_8009D278)     | sh $v1, 0xE($v0)
136 0x0F5F8  0x8001EDF8 sz=0x14   n=5          | lw $v0, 0x0($s2)             | sw $v0, 0x0($s2)
137 0x0F60C  0x8001EE0C sz=0x18   n=6          | sll $v0, $v0, 24             | addiu $s0, $zero, -0x1
138 0x0F624  0x8001EE24 sz=0x14   n=5          | lui $a0, %hi(D_8009D200)     | addu $a1, $zero, $zero
139 0x0F638  0x8001EE38 sz=0x14   n=5          | addu $a2, $zero, $zero       | sw $zero, 0x14($sp)
140 0x0F64C  0x8001EE4C sz=0x8    n=2          | lui $at, %hi(D_8009D200)     | sw $s0, %lo(D_8009D200)($at)
141 0x0F654  0x8001EE54 sz=0x14   n=5   .L8001EE54 | lui $a0, %hi(D_8009D2FC)     | addu $a1, $zero, $zero
142 0x0F668  0x8001EE68 sz=0x14   n=5          | addu $a2, $zero, $zero       | sw $zero, 0x14($sp)
143 0x0F67C  0x8001EE7C sz=0x8    n=2          | lui $at, %hi(D_8009D2FC)     | sw $s0, %lo(D_8009D2FC)($at)
144 0x0F684  0x8001EE84 sz=0x8    n=2   .L8001EE84 | jal func_80021D4C            | nop 
145 0x0F68C  0x8001EE8C sz=0x14   n=5   .L8001EE8C | lui $v1, %hi(D_8009D28C)     | addiu $a2, $zero, 0x46
146 0x0F6A0  0x8001EEA0 sz=0x1CC  n=115        | addiu $a1, $zero, 0x82       | sb $v1, %lo(D_800B0196)($at)
147 0x0F86C  0x8001F06C sz=0x1C   n=7   .L8001F06C | lui $v0, %hi(D_8009D278)     | addiu $a2, $zero, 0x46
148 0x0F888  0x8001F088 sz=0x2C8  n=178        | addiu $a1, $zero, 0x82       | nop 
149 0x0FB50  0x8001F350 sz=0x8    n=2          | jal func_80020CE4            | nop 
150 0x0FB58  0x8001F358 sz=0x8    n=2   .L8001F358 | jal func_800374E8            | nop 
151 0x0FB60  0x8001F360 sz=0x8    n=2          | jal func_80021054            | nop 
152 0x0FB68  0x8001F368 sz=0x18   n=6          | sll $v0, $v0, 24             | addiu $s0, $zero, -0x1
