wall,tick,cycles,pc,mode,d4d4,scratch0,dest,d278,hp,d2e8,gp90,pad_phase,identity
17:35:37,77,6006280608,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:38,77,6040144492,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:39,77,6071750767,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:40,77,6104485854,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:41,77,6137785348,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:42,77,6168262822,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:43,77,6202126715,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:44,77,6235990591,0x8008e214,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:45,77,6268161273,0x80073a44,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:46,77,6300896376,0x80073a6c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:47,77,6333067044,0x80073ba8,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:48,77,6363544534,0x8006d03c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:49,78,6395715218,0x80081230,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:50,78,6427321528,0x80073a44,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000001,0x801a136c,PLAY,1
17:35:51,78,6459492193,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x801a1e98,PLAY,1
17:35:52,78,6493920485,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x801a1e98,PLAY,1
17:35:53,78,6528348748,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x801a1e98,PLAY,1
17:35:54,78,6561083841,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x801a1e98,PLAY,1
17:35:55,78,6592690128,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x801a1e98,PLAY,1
17:35:56,78,6627682806,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x801a1e98,PLAY,1
17:35:57,78,6661546684,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x801a1e98,PLAY,1
