scene,ida,idb,source_package,source_offset,size,sha256,frames,enc,bones_minus_1,dest_slot,writer_pc,reachable_via,first_known_consumer,confidence,notes
m0367i,4,0x06,m0367i_chunk2,0x1651C,4460,761a22afdfe59f91f50d2c0d81a661999393e94a39c566b6723cb9bc9c20f532,80,1,22,D_800B0E98[4*192+6*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x07,m0367i_chunk2,0x17688,4888,685f3ea8a841b2d5251d23c160922ad6141ef49839ad60424ed5b2995799c470,90,1,22,D_800B0E98[4*192+7*4],0x8006B84C,type1_0x08,type4 0x2E +0xF0 after 0x9D,PROVEN,do not name clip from appearance
m0367i,4,0x08,m0367i_chunk2,0x189A0,2700,e926dfb4022b9f08685ab703165e5f21138a7309afe5d3646dcedd2a05acf8be,60,1,22,D_800B0E98[4*192+8*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x09,m0367i_chunk2,0x1942C,1236,e1e661bfd19d58dbf197158e94d54e14a75a2b5a0449dc96a2d571716cdec069,24,1,22,D_800B0E98[4*192+9*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x0A,m0367i_chunk2,0x19900,1392,6e474db24d70e4f8eb29aa6e012f841bde09c10526cca59cdc9f182d54885f7f,30,1,22,D_800B0E98[4*192+10*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x0B,m0367i_chunk2,0x19E70,2544,bcd71c020382a5fd4be3eb789ade06f3f980ceac04c32fcafcb34e50c4d2be93,45,1,22,D_800B0E98[4*192+11*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x0C,m0367i_chunk2,0x1A860,2740,61ac6fad146af8554bd9c8306ce58a1bf73ea37eb28af54ca42600d994b04d3c,40,1,22,D_800B0E98[4*192+12*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0319i,0,0x18,m0319i_chunk2,0xC9B0,1272,03f7338305ade7941ff5115bbacc5dd83481dc3cdc4058f5ea043a65617fd24c,30,1,30,D_800B0E98[0*192+24*4],0x8006B84C,m0367i_type1_0x31_persist,M0319I Writer A; persist-gated dest,PROVEN,do not name clip from appearance
m0319i,0,0x1D,m0319i_chunk2,0xCEA8,3116,1467f49d5ab35a8f14ecc6af8340d1925397d00dc88cc5c4d66ea881b5384fee,80,1,30,D_800B0E98[0*192+29*4],0x8006B84C,m0367i_type1_0x31_persist,M0319I Writer A; persist-gated dest,PROVEN,do not name clip from appearance
m0319i,0,0x1E,m0319i_chunk2,0xDAD4,5700,4066419ad87d0349caac96ce84a5a9c3011599c3d3c122fff3724cb53dea1538,105,1,30,D_800B0E98[0*192+30*4],0x8006B84C,m0367i_type1_0x31_persist,M0319I Writer A; persist-gated dest,PROVEN,do not name clip from appearance
m0319i,0,0x1F,m0319i_chunk2,0xF118,2636,88e72c3f45e08f8d16da59d95e08e54904e87f3d4c805ef6389399c34600e07b,40,1,30,D_800B0E98[0*192+31*4],0x8006B84C,m0367i_type1_0x31_persist,M0319I Writer A; persist-gated dest,PROVEN,do not name clip from appearance
m0319i,0,0x20,m0319i_chunk2,0xFB64,5196,b4a9f67a8d7b1368620c686a26dcd7536927233de356fe9338b71146e7836bff,78,1,30,D_800B0E98[0*192+32*4],0x8006B84C,m0367i_type1_0x31_persist,M0319I Writer A; persist-gated dest,PROVEN,do not name clip from appearance
m0319i,2,0x03,m0319i_chunk2,0x10FB0,8340,889739247a75aa5d4124e9cab00c47ef04087841703d86f429bea5f1e415b353,115,2,27,D_800B0E98[2*192+3*4],0x8006B84C,m0367i_type1_0x31_persist,M0319I Writer A; persist-gated dest,PROVEN,do not name clip from appearance
