index,index_hex,rw,operation,value,value_hex,scene,table_index,module,script_pc,handler,opcode,modes,args,src_bank,dst_bank,alu_desc,signedness,branch_consequence,notes
24,0x18,read,alu_and,1,0x1,m0005i,4,0,+0x07D0,0x80012850,0x09,0 3 2 0,0x3 0x0 0x18 0x1,persist,cond,dst = a & b,u32,skip-if-false -> +0x3988,a
0,0x0,read,alu_and,4,0x4,m0005i,4,0,+0x091C,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0x4,persist,cond,dst = a & b,u32,skip-if-false -> +0x3B4C,a
0,0x0,read,alu_or,2,0x2,m0005i,4,0,+0x09C4,0x80012850,0x09,0 3 2 0,0x2 0x1 0x0 0x2,persist,cond,dst = a | b,u32,,a
0,0x0,write,assign,,,m0005i,4,0,+0x09DC,0x800173F4,0x0A,2 3,0x0 0x1,cond,persist,,,,
10,0xA,read,alu_and,2147483648,0x80000000,m0005i,4,0,+0x0C3C,0x80012850,0x09,0 3 2 0,0x3 0x0 0xA 0x80000000,persist,cond,dst = a & b,u32,skip-if-false -> +0x3DC4,a
8,0x8,read,alu_eq,0,0x0,m0005i,4,0,+0x0D20,0x80012850,0x09,0 3 2 0,0xB 0x0 0x8 0x0,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x3EA8,a
0,0x0,read,alu_and,2,0x2,m0005i,4,0,+0x0DBC,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0x2,persist,cond,dst = a & b,u32,skip-if-false -> +0x3F58,a
1,0x1,write,assign,5,0x5,m0005i,4,0,+0x1068,0x800173F4,0x0A,2 0,0x1 0x5,imm,persist,,,,
74,0x4A,write,assign,38,0x26,m0005i,4,0,+0x1078,0x800173F4,0x0A,2 0,0x4A 0x26,imm,persist,,,,
74,0x4A,read,alu_slt_ab,40,0x28,m0005i,4,1,+0x14D8,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x28,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x32C0,a
74,0x4A,read,alu_slt_ab,39,0x27,m0005i,4,1,+0x151C,0x80012850,0x09,0 3 2 0,0xA 0x0 0x4A 0x27,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x3304,a
74,0x4A,read,alu_eq,39,0x27,m0005i,4,1,+0x156C,0x80012850,0x09,0 3 2 0,0xB 0x0 0x4A 0x27,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x3344,a
80,0x50,read,assign_from,,,m0005i,4,2,+0x1D84,0x800173F4,0x0A,4 2,0xA 0x50,persist,scratch,,,,
24,0x18,read,alu_or,1,0x1,m0005i,4,3,+0x25E4,0x80012850,0x09,0 3 2 0,0x2 0x1 0x18 0x1,persist,cond,dst = a | b,u32,,a
24,0x18,write,assign,,,m0005i,4,3,+0x25FC,0x800173F4,0x0A,2 3,0x18 0x1,cond,persist,,,,
1,0x1,write,assign,5,0x5,m0005i,4,3,+0x2634,0x800173F4,0x0A,2 0,0x1 0x5,imm,persist,,,,
24,0x18,read,alu_and,4294967294,0xFFFFFFFE,m0005i,4,3,+0x26D0,0x80012850,0x09,0 3 2 0,0x3 0x1 0x18 0xFFFFFFFE,persist,cond,dst = a & b,u32,,a
24,0x18,write,assign,,,m0005i,4,3,+0x26E8,0x800173F4,0x0A,2 3,0x18 0x1,cond,persist,,,,
1,0x1,write,assign,5,0x5,m0005i,4,3,+0x2720,0x800173F4,0x0A,2 0,0x1 0x5,imm,persist,,,,
74,0x4A,read,alu_sge_ab,40,0x28,m0005i,4,3,+0x273C,0x80012850,0x09,0 3 2 0,0xC 0x0 0x4A 0x28,persist,cond,dst = (a >= b) signed,slt,skip-if-false -> +0x355C,a
